parentID;ID;code;name;comments;hasGrain;length;width;thickness;quantity;units;coverSide;type;materialType;materialCode;colorCode
491;496;kaminakapi_ukse_ribi WP 3;WP of ;;False;407;19;1;0,407;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
491;498;kaminakapi_ukse_ribi WP 4;WP of ;;False;40;19;1;0,04;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
491;500;kaminakapi_ukse_ribi WP 5;WP of ;;False;407;19;1;0,407;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
447;448;kaminakapi_p6hi;;;False;1032;372;16;1;;;Part;;;
448;449;kaminakapi_p6hi WP 1;WP of ;;False;1032;372;16;0,384;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
448;451;kaminakapi_p6hi WP 2;WP of ;;False;1032;16;1;1,032;m;Front;Cover Workpiece;Edge Band;ABS;EG_U999
447;453;kaminakapi_otsakilp;;;True;390;372;16;1;;;Part;;;
453;454;kaminakapi_otsakilp WP 1;WP of ;;True;390;372;16;0,145;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
453;456;kaminakapi_otsakilp WP 2;WP of ;;False;390;16;1;0,39;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
453;458;kaminakapi_otsakilp WP 3;WP of ;;False;372;16;1;0,372;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
453;460;kaminakapi_otsakilp WP 4;WP of ;;False;390;16;1;0,39;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
447;462;kaminakapi_parem_kylg;;;False;372;270;16;1;;;Part;;;
462;463;kaminakapi_parem_kylg WP 1;WP of ;;False;372;270;16;0,1;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
462;465;kaminakapi_parem_kylg WP 2;WP of ;;False;372;16;1;0,372;m;Front;Cover Workpiece;Edge Band;ABS;EG_U999
462;467;kaminakapi_parem_kylg WP 3;WP of ;;False;270;16;1;0,27;m;Left;Cover Workpiece;Edge Band;ABS;EG_U999
447;469;kaminakapi_tagasein;;;False;1032;254;16;1;;;Part;;;
469;470;kaminakapi_tagasein WP 1;WP of ;;False;1032;254;16;0,262;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
447;472;kaminakapi_vahekilp;;;False;391;390;16;1;;;Part;;;
472;473;kaminakapi_vahekilp WP 1;WP of ;;False;391;390;16;0,152;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
472;475;kaminakapi_vahekilp WP 2;WP of ;;False;25;16;1;0,025;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
472;477;kaminakapi_vahekilp WP 3;WP of ;;False;390;16;1;0,39;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
446;514;Veeauru_kamina_vahekapp;;;;;;;2;;;Assembly;;;
514;479;kaminakapi_vasak_uks;;;;;;;1;;;Assembly;;;
479;480;kaminakapi_vasak_uks;;;True;529;388;16;1;;;Part;;;
480;481;kaminakapi_vasak_uks WP 1;WP of ;;True;388;529;16;0,205;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
480;483;kaminakapi_vasak_uks WP 2;WP of ;;False;388;16;1;0,388;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
480;485;kaminakapi_vasak_uks WP 3;WP of ;;False;529;16;1;0,529;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
480;487;kaminakapi_vasak_uks WP 4;WP of ;;False;388;16;1;0,388;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
480;489;kaminakapi_vasak_uks WP 5;WP of ;;False;529;16;1;0,529;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
479;491;kaminakapi_ukse_ribi;;;True;407;40;19;9;;;Part;;;
491;492;kaminakapi_ukse_ribi WP 1;WP of ;;True;417;40;19;0,017;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
491;494;kaminakapi_ukse_ribi WP 2;WP of ;;False;44;27;1;0,044;m;Inward;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
491;496;kaminakapi_ukse_ribi WP 3;WP of ;;False;407;19;1;0,407;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
491;498;kaminakapi_ukse_ribi WP 4;WP of ;;False;40;19;1;0,04;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
491;500;kaminakapi_ukse_ribi WP 5;WP of ;;False;407;19;1;0,407;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
514;502;kaminakapi_parem_uks;;;;;;;1;;;Assembly;;;
502;503;kaminakapi_parem_uks;;;True;529;388;16;1;;;Part;;;
503;504;kaminakapi_parem_uks WP 1;WP of ;;True;388;529;16;0,205;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
503;506;kaminakapi_parem_uks WP 2;WP of ;;False;388;16;1;0,388;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
503;508;kaminakapi_parem_uks WP 3;WP of ;;False;529;16;1;0,529;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
503;510;kaminakapi_parem_uks WP 4;WP of ;;False;388;16;1;0,388;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
503;512;kaminakapi_parem_uks WP 5;WP of ;;False;529;16;1;0,529;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
502;491;kaminakapi_ukse_ribi;;;True;407;40;19;9;;;Part;;;
491;492;kaminakapi_ukse_ribi WP 1;WP of ;;True;417;40;19;0,017;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
491;494;kaminakapi_ukse_ribi WP 2;WP of ;;False;44;27;1;0,044;m;Inward;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
491;496;kaminakapi_ukse_ribi WP 3;WP of ;;False;407;19;1;0,407;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
491;498;kaminakapi_ukse_ribi WP 4;WP of ;;False;40;19;1;0,04;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
491;500;kaminakapi_ukse_ribi WP 5;WP of ;;False;407;19;1;0,407;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
514;469;kaminakapi_tagasein;;;False;1032;254;16;1;;;Part;;;
469;470;kaminakapi_tagasein WP 1;WP of ;;False;1032;254;16;0,262;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
514;472;kaminakapi_vahekilp;;;False;391;390;16;1;;;Part;;;
472;473;kaminakapi_vahekilp WP 1;WP of ;;False;391;390;16;0,152;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
472;475;kaminakapi_vahekilp WP 2;WP of ;;False;25;16;1;0,025;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
472;477;kaminakapi_vahekilp WP 3;WP of ;;False;390;16;1;0,39;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
514;448;kaminakapi_p6hi;;;False;1032;372;16;1;;;Part;;;
448;449;kaminakapi_p6hi WP 1;WP of ;;False;1032;372;16;0,384;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
448;451;kaminakapi_p6hi WP 2;WP of ;;False;1032;16;1;1,032;m;Front;Cover Workpiece;Edge Band;ABS;EG_U999
514;462;kaminakapi_parem_kylg;;;False;372;270;16;1;;;Part;;;
462;463;kaminakapi_parem_kylg WP 1;WP of ;;False;372;270;16;0,1;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
462;465;kaminakapi_parem_kylg WP 2;WP of ;;False;372;16;1;0,372;m;Front;Cover Workpiece;Edge Band;ABS;EG_U999
462;467;kaminakapi_parem_kylg WP 3;WP of ;;False;270;16;1;0,27;m;Left;Cover Workpiece;Edge Band;ABS;EG_U999
514;515;kaminakapi_vasak_kylg;;;False;372;270;16;1;;;Part;;;
515;516;kaminakapi_vasak_kylg WP 1;WP of ;;False;372;270;16;0,1;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
515;518;kaminakapi_vasak_kylg WP 2;WP of ;;False;372;16;1;0,372;m;Front;Cover Workpiece;Edge Band;ABS;EG_U999
515;520;kaminakapi_vasak_kylg WP 3;WP of ;;False;270;16;1;0,27;m;Left;Cover Workpiece;Edge Band;ABS;EG_U999
446;522;Veeauru_kamina_pink;;;;;;;1;;;Assembly;;;
522;550;pingi_esipaneel;;;;;;;1;;;Assembly;;;
550;551;pingi_esipaneel;;;True;2262;390;16;1;;;Part;;;
551;552;pingi_esipaneel WP 1;WP of ;;True;390;2262;16;0,882;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
551;554;pingi_esipaneel WP 2;WP of ;;False;390;16;1;0,39;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
551;556;pingi_esipaneel WP 3;WP of ;;False;2262;16;1;2,262;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
551;558;pingi_esipaneel WP 4;WP of ;;False;390;16;1;0,39;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
550;560;pingi_esipaneeli_ribi;;;True;409;40;19;38;;;Part;;;
560;561;pingi_esipaneeli_ribi WP 1;WP of ;;True;419;40;19;0,017;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
560;563;pingi_esipaneeli_ribi WP 2;WP of ;;False;409;19;1;0,409;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
560;565;pingi_esipaneeli_ribi WP 3;WP of ;;False;40;19;1;0,04;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
560;567;pingi_esipaneeli_ribi WP 4;WP of ;;False;409;19;1;0,409;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
522;523;pingi_p6hi;;;False;2245;375;16;1;;;Part;;;
523;524;pingi_p6hi WP 1;WP of ;;False;2245;375;16;0,842;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
522;526;pingi_tagasein;;;False;2245;254;16;1;;;Part;;;
526;527;pingi_tagasein WP 1;WP of ;;False;2245;254;16;0,57;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
522;529;pingi_otsakilp;;;True;390;375;16;1;;;Part;;;
529;530;pingi_otsakilp WP 1;WP of ;;True;390;375;16;0,146;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
529;532;pingi_otsakilp WP 2;WP of ;;False;390;16;1;0,39;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
529;534;pingi_otsakilp WP 3;WP of ;;False;375;16;1;0,375;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
522;536;pingi_vahesein;;;False;359;254;16;5;;;Part;;;
536;537;pingi_vahesein WP 1;WP of ;;False;359;254;16;0,091;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
522;539;pingi_plaat;;;True;2278;410;19;1;;;Part;;;
539;540;pingi_plaat WP 1;WP of ;;True;2278;420;19;0,957;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
539;542;pingi_plaat WP 2;WP of ;;False;2278;19;1;2,278;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
539;544;pingi_plaat WP 3;WP of ;;False;2278;27;1;2,278;m;Inward;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
539;546;pingi_plaat WP 4;WP of ;;False;410;19;1;0,41;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
539;548;pingi_plaat WP 5;WP of ;;False;410;19;1;0,41;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
446;530;kaminakapi_kiviplaat;;;;;;;1;;;Purchased;;;
1;569;182844_Taimekast_EM_01;;;;;;;1;;;Assembly;;;
569;570;Taimekast_EM_01;;;;;;;2;;;Assembly;;;
570;571;taimekasti_kylg_01;;;True;1500;360;39;2;;;Part;;;
571;572;taimekasti_kylg_01 WP 1;WP of ;;True;1520;360;39;0,547;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
571;574;taimekasti_kylg_01 WP 2;WP of ;;False;1500;6;1;1,5;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
571;576;taimekasti_kylg_01 WP 3;WP of ;;False;1500;39;1;1,5;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
570;578;taimekasti_ots_01;;;True;600;360;39;2;;;Part;;;
578;579;taimekasti_ots_01 WP 1;WP of ;;True;620;360;39;0,223;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
578;581;taimekasti_ots_01 WP 2;WP of ;;False;600;6;1;0,6;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
578;583;taimekasti_ots_01 WP 3;WP of ;;False;600;39;1;0,6;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
570;585;taimekasti_p6hi_01;;;True;1422;522;18;1;;;Part;;;
585;586;taimekasti_p6hi_01 WP 1;WP of ;;True;1422;522;18;0,742;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
570;588;taimekasti_sokli_serv_01;;;True;1440;60;39;2;;;Part;;;
588;589;taimekasti_sokli_serv_01 WP 1;WP of ;;True;1440;60;39;0,086;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
570;591;taimekasti_sokli_ots_01;;;True;420;60;39;2;;;Part;;;
591;592;taimekasti_sokli_ots_01 WP 1;WP of ;;True;420;60;39;0,025;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
570;598;taimekasti_LED_kate_01;;joonise järgi;;;;;1;;;Purchased;;;
570;599;taimekasti_RST_vann_01;;joonise järgi;;;;;1;;;Purchased;;;
570;607;puit_tyybel_8x35;;;;;;;14;;;Purchased;;;
570;594;plastiktald;;;;;;;4;;;Purchased;;;
570;595;RST sokliplekk 1442x39;;;;;;;2;;;Purchased;;;
570;596;RST sokliplekk 540x39;;;;;;;2;;;Purchased;;;
570;597;LED Alu nurgaprofiilis L=1470;;;;;;;2;;;Purchased;;;
570;598;LED Alu nurgaprofiilis L=570;;;;;;;2;;;Purchased;;;
1;599;182845_Taimekast_EM_02;;;;;;;1;;;Assembly;;;
599;600;Taimekast_EM_02;;;;;;;2;;;Assembly;;;
600;601;taimekasti_kylg_02;;;True;2200;560;39;2;;;Part;;;
601;602;taimekasti_kylg_02 WP 1;WP of ;;True;2220;560;39;1,243;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
601;604;taimekasti_kylg_02 WP 2;WP of ;;False;2200;6;1;2,2;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
601;606;taimekasti_kylg_02 WP 3;WP of ;;False;2200;39;1;2,2;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
600;608;taimekasti_ots_02;;;True;560;400;39;2;;;Part;;;
608;609;taimekasti_ots_02 WP 1;WP of ;;True;420;560;39;0,235;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
608;611;taimekasti_ots_02 WP 2;WP of ;;False;400;6;1;0,4;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
608;613;taimekasti_ots_02 WP 3;WP of ;;False;400;39;1;0,4;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
600;615;taimekasti_p6hi_02;;;True;2122;322;18;1;;;Part;;;
615;616;taimekasti_p6hi_02 WP 1;WP of ;;True;2122;322;18;0,683;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
600;618;taimekasti_sokli_serv_02;;;True;2140;60;39;2;;;Part;;;
618;619;taimekasti_sokli_serv_02 WP 1;WP of ;;True;2140;60;39;0,128;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
600;621;taimekasti_sokli_ots_02;;;True;220;60;39;2;;;Part;;;
621;622;taimekasti_sokli_ots_02 WP 1;WP of ;;True;220;60;39;0,013;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
600;633;taimekasti_LED_kate_02;;joonise järgi;;;;;1;;;Purchased;;;
600;634;taimekasti_RST_vann_02;;joonise järgi;;;;;1;;;Purchased;;;
600;594;plastiktald;;;;;;;4;;;Purchased;;;
600;607;puit_tyybel_8x35;;;;;;;22;;;Purchased;;;
600;625;RST sokliplekk 2142x39;;;;;;;2;;;Purchased;;;
600;626;RST sokliplekk 340x39;;;;;;;2;;;Purchased;;;
600;627;LED Alu nurgaprofiilis L=2170;;;;;;;2;;;Purchased;;;
600;628;LED Alu nurgaprofiilis L=370;;;;;;;2;;;Purchased;;;
